"SiteCode","SurveyDate","m1_alpha","m1_biomass","B20","m2_fish_alpha","m2_invert_alpha","FG_richness","biomass","CTI","urchin_abundance","year"
"RI15",2008-12-17,24,89515.368985032,77474.4684968,2.5,2,10.6666666666667,80790.455927692,1873573.46706065,NA,2008
"RI16",2013-05-14,16,19465.6391194083,12795.4524510533,1.75,6,9.44444444444444,7837.31258092767,390423.359179962,26.1666666666667,2013
"RI16",2010-05-16,20.25,47479.8558513105,24203.31180295,1.6,6.25,10.5,10499.7034794503,951153.668398899,11.375,2010
"RI16",2014-05-19,14,11527.3847666822,7768.02404628,1,5.6,9,4357.0107746764,229429.743565982,12.3,2014
"RI16",2008-10-19,22,10448.031381137,7473.4606055,1,7.5,10,6785.336064005,199680.75735153,4,2008
"RI16",2015-05-24,17.5,24196.4441459993,16481.5084955,1.5,5.625,9.75,5524.193680764,486052.241662151,10.375,2015
"RI16",2012-05-28,23,53594.82243358,42133.7678305667,2.5,8.66666666666667,13.6666666666667,33527.0722082547,1066999.24011653,15,2012
"RI16",2017-05-29,22,46911.2239398587,30023.738835,1.66666666666667,4.83333333333333,10.8888888888889,13910.4105116913,927550.124498017,3.5,2017
"RI16",2009-08-30,14,15725.392301183,13762.194637,1,5,8.33333333333333,9529.8561906,304965.053622485,1,2009
"RI17",2016-04-17,16,115880.593104503,25356.9358421,1,2.83333333333333,7.55555555555556,18285.2348257933,2364072.62602262,1,2016
"RI17",2008-07-27,14.75,84465.9074759595,82450.76793355,1,3.75,7,80065.8710844218,1763435.33394791,6,2008
"RI17",2017-05-29,13.3333333333333,13385.558315401,11050.4004461333,NA,2,6.71428571428571,8389.06695843333,264650.332490144,NA,2017
"RI18",2010-05-17,13.5,14779.243947478,12386.4421447,1,2.75,6.33333333333333,7711.18296871,290490.351146564,2,2010
"RI18",2014-05-18,14.5,13695.03908686,9775.995905,1,1.33333333333333,5.33333333333333,6340.4156015,273256.336195374,1,2014
"RI18",2016-05-20,16,79622.5208009505,77415.15963475,NA,3.25,7.16666666666667,71066.11758754,1563510.8259116,2.75,2016
"RI18",2015-05-23,17,14718.06266714,9243.3973671,NA,3,7.5,7159.12174859,290469.166782537,1.33333333333333,2015
"RI18",2008-07-26,12.3333333333333,104487.413962895,101948.094861933,1,5,6.77777777777778,98712.2947842,2046523.37099401,3.4,2008
"RI18",2012-05-28,12,17683.875501273,13375.5730506,1,3.25,6.33333333333333,8741.86552801,348643.828856704,3.33333333333333,2012
"RI18",2017-05-29,14.6666666666667,15553.2511758567,12617.6707502,1.5,2.5,6.55555555555556,8459.496107966,312616.786915139,2,2017
"RI19",2009-03-01,23,81655.825955096,77582.6894093,2,9.5,13.6666666666667,12823.13423579,1519463.65054762,2,2009
"RI19",2010-05-14,20,9688.8838341845,6204.19974125,1,3.25,9.16666666666667,2420.227449499,193714.632101835,NA,2010
"RI19",2014-05-16,17.5,47456.469415604,42915.39951605,1.33333333333333,4,9,8719.140019938,906982.403786021,5.5,2014
"RI19",2011-05-21,19,20278.69224955,14635.9559217,1,6.5,10,9242.8075378,408878.869440876,2.5,2011
"RI19",2015-05-25,17.5,22297.8104996125,15600.479456,2.33333333333333,3.25,8.5,12007.48316265,458494.594642864,NA,2015
"RI19",2017-05-26,15.25,46192.1447517703,42016.178406375,2,3.875,8.5,6469.644995505,893352.714459196,1.25,2017
"RI2",2013-05-14,23,16962.4121400507,10594.7722981333,1.8,6.83333333333333,12,6434.95946751133,349453.370317055,12.5,2013
"RI2",2010-05-16,21,25102.3566150943,17090.4031848667,1,5.16666666666667,10.5555555555556,9008.622213032,486766.569395593,4.2,2010
"RI2",2014-05-17,19,10764.078511001,7066.76711555,1.5,4,9.33333333333333,4128.438586207,220267.181656279,7.66666666666667,2014
"RI2",2009-08-02,25,24171.81621922,19800.1885657,1,7,11.6666666666667,7077.2761442,468719.759175061,6.5,2009
"RI2",2016-05-20,23.6666666666667,52285.2744370733,45741.1834054333,1.33333333333333,3.33333333333333,9.77777777777778,20433.057304758,1064886.30962635,4.4,2016
"RI2",2011-05-23,28.3333333333333,123084.846486408,84509.0366044533,1.5,8,14,60534.1313076927,2526848.90499039,13.3333333333333,2011
"RI2",2015-05-23,24,41402.8560257715,30187.717285,1,3,9.66666666666667,21164.547721581,876358.420920598,4.66666666666667,2015
"RI2",2009-07-24,19.6666666666667,41735.7064468457,27861.5980097333,1.33333333333333,6.33333333333333,10.3333333333333,13953.6704156027,838881.340069972,6.8,2009
"RI2",2008-07-25,19.6666666666667,17294.8498606553,11933.1786107,2,5.66666666666667,11,9053.64745170333,341493.153958644,7.66666666666667,2008
"RI2",2012-05-26,30,43867.887669358,29209.9732659,NA,5,12.3333333333333,7838.24783302,905348.791693056,9,2012
"RI2",2017-05-28,22,29557.4094492467,21254.5371515667,1.66666666666667,5,10.4444444444444,12253.402507366,598290.789440823,5.4,2017
"RI2",2008-07-28,20,25930.7457418605,20676.0035178,1.33333333333333,9.75,12.1666666666667,14234.980606765,506956.49266902,6.25,2008
"RI20",2009-02-15,19,16914.4751483,13962.0624847,1.5,6.5,11,5641.2249056,315571.815666248,7,2009
"RI20",2015-05-25,26.6666666666667,39461.859229164,19184.4450585667,1.4,4.66666666666667,11.2222222222222,15506.9694877387,803662.77072665,7.83333333333333,2015
"RI20",2012-05-27,23.6666666666667,20706.836990774,11372.6602719333,1.5,8,12.8888888888889,6071.40115507267,413886.987229065,17,2012
"RI21",2010-05-15,16.6666666666667,32200.212807105,21934.1025085333,1.5,4.33333333333333,7.88888888888889,16116.1055338693,642794.368832879,1.75,2010
"RI21",2014-05-16,17.5,17133.2083336353,11861.7654549,1.5,4.5,10.8,10782.316582724,347132.055279847,1.66666666666667,2014
"RI21",2015-05-22,19,70029.121788916,61488.6847208,1.75,4,9.5,53939.243870288,1395788.49071323,1,2015
"RI21",2011-05-23,17,19926.6712745433,11118.0795682,1.66666666666667,4.16666666666667,8.55555555555556,11572.784742338,389972.956653605,1,2011
"RI21",2012-05-25,23.5,51891.1358653635,22116.72607915,2,3.5,9.5,21591.641083696,1049098.36603958,1,2012
"RI21",2012-05-26,23,12902.079799922,9027.3627047,1.5,5,11,6280.617243387,261097.730847131,5.5,2012
"RI21",2017-05-26,15,14350.7840245923,11216.8477083333,2,3.5,8.55555555555556,8410.48852853867,292201.936356343,NA,2017
"RI21",2010-04-04,17,15235.27336245,7740.6825497,1,5.5,9,2969.5976589,308953.445269548,1,2010
"RI22",2010-04-04,15,11072.559722404,9101.5557452,1.5,7,9.33333333333333,3499.93633929,219766.654302946,1.5,2010
"RI23",2013-05-12,18,12557.8585563663,8452.1536866,1,6.5,9.55555555555556,5451.0559183,252558.309951892,11.1666666666667,2013
"RI23",2010-05-17,17.4,28682.868358664,14321.29147478,1,6.2,9.46666666666667,10305.3628587936,558568.841316202,18.3333333333333,2010
"RI23",2014-05-18,25.25,42020.910517401,27413.4398329,1.25,7.625,13,19181.903087934,824236.14595351,12.75,2014
"RI23",2016-06-18,16,25091.917909057,18713.82463425,1.5,6.25,8.66666666666667,12591.361674705,500062.922794007,5,2016
"RI23",2009-08-02,15,16008.43444904,10288.0671617,NA,8,10.3333333333333,4416.6138371,317676.662765655,1,2009
"RI23",2015-05-22,20,42765.0061501873,38554.3002015333,1.5,7.33333333333333,11.5555555555556,26735.697611563,853140.365538132,13.6666666666667,2015
"RI23",2009-11-22,20,22746.214589947,18581.992181,1,7.5,12.6666666666667,13314.691849,445532.202460478,11,2009
"RI23",2011-05-23,21,29810.5740570357,10003.5581759667,1.5,6.16666666666667,11,8914.39840328667,579362.023632149,28,2011
"RI23",2017-05-27,17.5,38570.481125442,32065.7311548,1.375,4.5,9.33333333333333,12778.1387022875,751946.130339556,12.125,2017
"RI23",2012-05-28,26.3333333333333,41991.5322508077,24919.2501349,2,7.33333333333333,12.8888888888889,19796.6621101093,844805.323448444,12.5,2012
"RI23",2008-07-28,18.5,54671.541239721,41581.3037795,2,2.75,8,39449.739748004,1059563.84350031,2,2008
"RI23",2009-08-30,18,24826.82129349,20050.6954512,1,8.5,11,8532.8271071,486946.183690785,11,2009
"RI24",2012-04-15,24,82311.975631128,54606.9955512,NA,1.5,9,29342.225613328,1635930.83320973,3,2012
"RI25",2017-05-27,12.3333333333333,14810.551614375,10022.1305101333,1,1.66666666666667,6.33333333333333,6314.62505846267,295478.635819091,1,2017
"RI3",2010-05-14,10.6,91157.2720047828,39618.53664726,1,2.8,5.4,13343.37102179,1749313.49655111,NA,2010
"RI3",2015-05-24,13.5,31306.8784804503,25458.72264375,2,2.375,6.58333333333333,23884.448442031,623746.325983609,NA,2015
"RI3",2009-07-25,12.6666666666667,117795.167929217,115175.539813333,1,2.83333333333333,6.33333333333333,102392.718651056,2346195.5115375,2,2009
"RI3",2012-05-27,13,19889.7533126193,5706.6474219,1.66666666666667,3.71428571428571,7,3650.15574001,382836.025009309,2,2012
"RI3",2017-05-27,11.5,26636.9021496755,25408.229970125,1,3.16666666666667,6.7,17667.7416017077,529200.008464673,2,2017
"RI4",2009-03-01,17,19022.94993422,10880.4266175,1.5,6.5,11.6666666666667,8763.9466025,377249.966215768,1,2009
"RI4",2014-05-16,22,14474.2159117805,8237.78215805,1.5,4.5,11,8200.013983565,291230.860169099,4.75,2014
"RI4",2011-05-21,13.5,9935.00816443325,5537.0896253,1,2.71428571428571,7.09090909090909,5364.77999852175,191402.550392247,1,2011
"RI4",2015-05-25,17.5,36148.3738148985,22562.56154815,1,2.5,8.33333333333333,8008.726043977,702784.327556242,2.5,2015
"RI4",2009-07-25,16.3333333333333,241282.306259422,231979.719488167,2,3.66666666666667,8,227493.036517517,4711775.5770987,2,2009
"RI4",2012-05-27,25,53960.5639519105,39381.83687395,1,4.25,10.6666666666667,13652.51180364,1056958.03759233,1,2012
"RI4",2017-05-27,19.6666666666667,23656.970400091,13049.4671752667,2.33333333333333,3,10.2222222222222,10189.1018961823,468815.114684692,1,2017
"RI5",2013-05-13,22,34698.6605769143,20575.3072704333,1.5,6,12.2857142857143,15337.104811181,697057.17527162,6.25,2013
"RI5",2010-05-16,18,24271.6226056725,12400.97247435,1.66666666666667,5.25,9.83333333333333,9704.312680229,474458.184003342,7.75,2010
"RI5",2014-05-17,17.75,41474.2603428577,35469.5164717,1.2,3.25,7.75,32228.804083154,858998.138398616,25.625,2014
"RI5",2008-10-19,16,15232.962317722,13466.7586219,1,6,9.66666666666667,9273.82864334,294763.038493098,3.5,2008
"RI5",2016-05-20,17.6666666666667,21104.1726510997,17698.4228362,1.33333333333333,3.16666666666667,8.22222222222222,11489.5752503687,432474.32677848,17.1666666666667,2016
"RI5",2011-05-22,19,146123.572186243,83713.9878297,1,5.75,9,21816.111703448,2962568.27662521,7,2011
"RI5",2015-05-24,17,22554.62171802,17896.73183395,1,2.5,7.16666666666667,10568.07177972,455689.839979193,5.5,2015
"RI5",2008-07-26,19.6666666666667,45759.5014521747,39651.0808699,2,5.33333333333333,9.55555555555556,30873.7198155183,921518.028594387,7,2008
"RI5",2009-07-26,15.6666666666667,56928.7732247883,54213.0762954333,1,4.33333333333333,7.55555555555556,36617.4757607533,1126443.40877467,2.75,2009
"RI5",2012-05-28,22,27364.1330485025,23233.28958365,1.25,4.5,9.66666666666667,15490.2385764,541659.358804772,5,2012
"RI5",2017-05-28,18.6666666666667,34981.2897931587,27243.6343451667,1.6,4.16666666666667,9.11111111111111,15277.104208361,702053.555606168,27.1666666666667,2017
"RI6",2013-05-13,22.6666666666667,30926.5862766007,24048.3568471,1.75,3.5,11.2857142857143,15894.2243236897,640087.388317616,1,2013
"RI6",2010-05-17,13,62219.9481825518,48265.1471754833,1.66666666666667,2.75,6.38888888888889,45645.6337787833,1270199.65491523,2.75,2010
"RI6",2008-12-17,28,17299.531773443,13632.1016145,3.5,3,14,13003.728563639,363799.886248399,NA,2008
"RI6",2014-05-18,23.75,35121.7265853853,29154.14275895,2.625,3,11,25405.1749084848,753499.390666504,1.5,2014
"RI6",2016-06-18,23.5,119143.286471261,114340.9014262,2.5,4,10.3333333333333,85474.245264074,2515803.1868048,2,2016
"RI6",2011-05-22,25.5,63808.0640748635,59698.07843475,2,3.75,10.3333333333333,49566.5587272405,1338429.51144943,1,2011
"RI6",2015-05-24,21.5,37051.042045978,32174.0176609,2,2.25,9.33333333333333,19043.823189559,755421.948127326,NA,2015
"RI6",2012-05-26,27.5,60119.359376394,43811.45186137,2,3.5,12,37028.6074325705,1284164.50707086,5,2012
"RI6",2009-07-26,19,204819.733585219,195066.118792267,1.6,4.16666666666667,9.11111111111111,192765.271271097,4031863.92488528,1,2009
"RI6",2017-05-28,18.6666666666667,98376.0055138927,74113.3864246667,2,3.66666666666667,9.33333333333333,42327.9695743507,2010388.63095417,1,2017
"RI7",2010-05-15,15.6,30989.6329560336,15828.91798176,1,3.1,6.86666666666667,4522.7838460206,607841.499879626,3.4,2010
"RI7",2011-05-22,17,13118.6507923167,5805.78421553333,NA,4.33333333333333,8.55555555555556,2664.46738302933,261768.621007533,7,2011
"RI7",2015-05-23,18,41270.045660254,28895.3382098,1.5,3,9,27727.698400235,835513.878519661,1,2015
"RI7",2008-07-25,19,54833.560116055,52529.796502,NA,4,8.66666666666667,34559.327261113,1128799.91126397,7,2008
"RI7",2012-05-26,23.6666666666667,40893.0281001153,14977.3889816867,1.5,7.16666666666667,11.5555555555556,5896.39851200067,812536.569059963,10.1666666666667,2012
"RI7",2009-07-27,19,30644.32017505,25939.7909372,1,3.75,8.66666666666667,8071.067817435,609316.312316152,3,2009
"RI8",2010-05-15,17.2,58909.432966514,46968.4054038,1.25,2.55555555555556,7.4,44725.7235112538,1205006.95084779,2.5,2010
"RI8",2016-05-20,20.3333333333333,67156.697693189,52557.5914777,1.75,1.75,9,48847.1377082213,1432422.11081953,1,2016
"RI8",2011-05-22,19.6666666666667,30255.821097091,23669.9264983333,1.25,2.4,8,20740.1898642753,623061.851351611,1,2011
"RI8",2015-05-23,19.5,621672.494481695,512767.9315224,1.83333333333333,2.14285714285714,8.33333333333333,41818.0015055777,11787055.2615357,1,2015
"RI8",2012-05-25,23.75,37017.8306234935,24535.134229625,1.5,2.66666666666667,9.66666666666667,21683.8551862127,755330.949162186,1,2012
"RI8",2009-07-27,18.3333333333333,27032.5871051697,16587.3398638333,1,2.66666666666667,7.11111111111111,20984.65520844,547333.820955332,1.66666666666667,2009
"RI8",2017-05-28,22.5,58478.5021593685,53312.127821975,2,2.33333333333333,10.5454545454545,44117.9363540525,1147589.97334966,2.5,2017
"RI9",2013-05-12,28.6666666666667,40930.8895623247,30957.6357234333,1.2,2.66666666666667,11.3333333333333,23255.6930715133,840054.88713494,NA,2013
"RI9",2010-05-14,19,46156.7962501153,35865.5559360429,1,2.90909090909091,8.47368421052632,28153.7942290666,926339.73175252,1.33333333333333,2010
"RI9",2014-05-16,20.6666666666667,110077.894619946,104666.5040761,2.25,3.5,12,65939.1704189027,2336206.3201793,NA,2014
"RI9",2011-05-21,19.6,22228.4411283922,11064.287777566,1.16666666666667,4.7,9.13333333333333,4794.1595597418,446639.256384147,1,2011
"RI9",2015-05-22,23.5,47673.0477968145,34245.5923737,1.66666666666667,3.75,10.6666666666667,29566.545822534,991882.293254899,1.66666666666667,2015
"RI9",2017-05-26,19,28625.4983343495,22848.6839791,2.125,3,9.41666666666667,12124.4212026385,590078.147147684,5,2017
"RI9",2012-05-27,37,137088.773258419,124491.23065255,1.33333333333333,3.25,14.8333333333333,107172.865496334,2706055.53867389,NA,2012
"WA91",2010-01-31,17,15060.383635099,11374.7585523,NA,2,7.33333333333333,5322.476180505,294210.551450561,1,2010
