"","SurveyID","m1_alpha","m1_biomass","B20","m2_fish_alpha","m2_invert_alpha","FG_richness","biomass","CTI","urchin_abundance"
"36","M00011000564014",5,22.674530161272,22.5783990734,NA,NA,5,NA,14.9875,NA
"37","M00011000565011",5,4.19318631278,4.1322427784,NA,NA,5,0.8976755696,15.1187490781095,NA
"38","M00011000565012",9,12.966208008206,12.95859627926,NA,NA,9,1.4558353396,16.6218381335388,NA
"39","M00011000565013",6,15.579564218778,13.82531150366,NA,NA,6,NA,15.590828989738,NA
"40","M00011000565014",6,11.64226140114,7.264819502,NA,NA,6,NA,15.0651994081274,NA
"41","M00011001476011",9,6.6662046775,5.9213430534,NA,NA,10,0.8976755696,15.8183831357461,NA
"42","M00011001476012",11,25.27138874914,23.64114080146,NA,NA,12,NA,16.3576315658266,NA
"43","M00011001476013",7,6.85691971984,6.160735205,NA,NA,7,NA,15.6049916666667,NA
"44","M00011001476014",4,4.9131582364,4.7101878172,NA,NA,4,NA,15.872,NA
"45","M00020500279011",6,25.72312040892,13.57584989272,NA,NA,6,1.46894785232,16.4108170841949,NA
"46","M00020500279012",5,11.1833811699,8.1397951348,NA,NA,5,NA,16.3296607260053,NA
"47","M00020500279013",8,11.069397648744,7.9059460346,NA,NA,8,1.1164641824,16.1231041341702,NA
"48","M00020500279014",8,19.391918180592,7.5493235454,NA,NA,8,NA,15.7242527619822,NA
"49","M00020500280011",7,6.501199253626,6.38887601612,NA,NA,8,0.21734626512,17.2935,NA
"50","M00020500280012",5,7.510605563772,7.4340844808,NA,NA,6,0.4112710884,17.2935,NA
"51","M00020500280013",5,9.034696514646,8.7342085324,NA,NA,5,NA,16.2842625,NA
"52","M00020500280014",6,4.131303957646,4.07472906362,NA,NA,6,NA,NA,NA
"53","M00020500281011",8,31.29718080452,23.2054425858,NA,NA,9,NA,15.9945538443986,NA
"54","M00020500281012",9,27.50114109612,22.8461320522,NA,NA,9,0.389819308,16.0966053723169,NA
"55","M00020500281013",10,37.428679208044,27.3705737128,NA,NA,11,NA,16.564537486822,NA
"56","M00020500281014",9,21.0580327176,20.15835735942,NA,NA,9,0.8401211664,16.5352193629131,NA
"57","M00020500282011",8,18.132581389298,12.6105580134,NA,NA,8,2.50864976948,15.5806489441411,NA
"58","M00020500282012",7,20.43653665318,12.4169059732,NA,NA,7,1.251635575,15.9035786869826,NA
"59","M00020500282013",8,25.4593177477,21.7372403622,NA,NA,8,NA,15.9118144613523,NA
"60","M00020500282014",7,4.65185215076,3.5629083958,NA,NA,7,NA,15.547754433149,NA
"61","M00020500283011",10,145.794760495772,137.314436159,NA,NA,11,NA,16.8040193066665,NA
"62","M00020500283012",6,48.9513509027,39.3763724976,NA,NA,6,NA,16.426426094746,NA
"63","M00020500283013",5,7.23873162324,3.49713250582,NA,NA,5,0.4112710884,16.1194560207216,NA
"64","M00020500283014",5,16.276697727,4.9242045692,NA,NA,5,0.389819308,16.3730497538772,NA
"65","M00020500566011",7,15.459773023698,14.1913058128,NA,NA,7,NA,15.8774750076643,NA
"66","M00020500566012",6,8.170938143758,3.8626076474,NA,NA,6,NA,15.6144999605687,NA
"67","M00020500566013",9,19.127664399532,12.8298111832,NA,NA,9,2.4555857616,15.6645760565297,NA
"68","M00020500566014",6,4.681546585376,3.4859621904,NA,NA,6,0.705193094,16.6439820692278,NA
"69","M00020500567011",8,3.584395068884,2.3294288768,NA,NA,8,NA,16.2979003567872,NA
"70","M00020500567012",15,18.234981496508,14.97578078022,NA,NA,15,0.705193094,16.0380755012461,NA
"71","M00020500567013",10,10.789020169118,6.4632479386,NA,NA,10,0.705193094,15.4694293093767,NA
"72","M00020500567014",7,24.32511183688,13.5082474436,NA,NA,7,1.1250294236,15.720789459119,NA
"73","M00020500568011",6,9.738601263084,5.8754923278,NA,NA,6,0.4112710884,15.2937752216861,NA
"74","M00020500568012",6,3.211458136494,0.926840135,NA,NA,6,0.389819308,15.2210383210718,NA
"75","M00020500568013",7,18.029693407878,14.9495291082,NA,NA,7,NA,15.5292708693682,NA
"76","M00020500568014",6,14.089924386956,3.918025892,NA,NA,6,NA,15.3170669895022,NA
"77","M00020500569011",4,4.00221003702,3.3817095886,NA,NA,5,NA,14.9875,NA
"78","M00020500569012",5,3.03678487426,1.66837304906,NA,NA,5,NA,15.0705995819776,NA
"79","M00020500569013",4,2.02794087818,1.643576937,NA,NA,4,NA,14.9875,NA
"80","M00020500569014",6,6.97325862078,6.4576187858,NA,NA,6,0.8976755696,14.9875,NA
"81","M00020500570011",10,15.651913646358,8.3335381862,NA,NA,11,0.948706953,15.2365571017181,NA
"82","M00020500570012",6,22.839791861916,7.22701110302,NA,NA,6,NA,15.4089931319355,NA
"83","M00020500570013",8,17.388949810222,6.00712123682,NA,NA,8,0.17037842568,15.4616101521543,NA
"84","M00020500570014",10,17.547073484158,9.8061155664,NA,NA,10,NA,15.3800938174225,NA
"85","M00020500571011",5,20.528026109714,2.8134256364,NA,NA,5,NA,15.2995653357883,NA
"86","M00020500571012",8,29.994782233592,12.66513382508,NA,NA,8,1.4558353396,15.3603488603633,NA
"87","M00020500571013",7,18.155909223268,3.644479571,NA,NA,7,0.389819308,15.2891741571593,NA
"88","M00020500571014",6,38.19378066012,1.7832452906,NA,NA,6,NA,15.3261936357147,NA
"89","M00020500572011",6,6.4229321847,4.368542807,NA,NA,6,NA,15.0472686048073,NA
"90","M00020500572012",4,3.459048314776,1.1855604052,NA,NA,4,NA,15.675759187446,NA
"91","M00020500572013",4,9.054729575,6.9009275376,NA,NA,4,1.1250294236,16.1181149319025,NA
"92","M00020500572014",7,5.474861560888,4.6025601312,NA,NA,7,NA,15.341259967072,NA
"93","M00020500573011",8,66.001590009386,60.5414260904,NA,NA,9,NA,15.9035383405357,NA
"94","M00020500573012",9,25.46323999678,11.12702084082,NA,NA,10,NA,15.6068510432659,NA
"95","M00020500573013",5,3.171086981166,2.78435873712,NA,NA,5,0.21734626512,16.0858404470874,NA
"96","M00020500573014",5,9.42163551237,4.8580387654,NA,NA,5,NA,15.3431280507467,NA
"97","M00020500574011",7,13.955099912348,8.6217927116,NA,NA,7,NA,15.9071438952191,NA
"98","M00020500574012",6,12.6110045495,11.0356861952,NA,NA,6,0.779638616,15.9911502061689,NA
"99","M00020500574013",6,17.09013588864,10.7519654558,NA,NA,6,2.014139752,15.8831141265346,NA
"100","M00020500574014",9,13.45133658798,9.0445558708,NA,NA,9,1.445946153,15.6624645085502,NA
"101","M00020500575011",11,12.542602493246,5.1974506372,NA,NA,11,2.3086817088,15.8335929473671,NA
"102","M00020500575012",9,9.930386728696,2.47639490022,NA,NA,9,1.095012402,15.6985922080532,NA
"103","M00020500575013",8,39.09997677382,14.7144018824,NA,NA,9,2.6620217626,16.1562322812158,NA
"104","M00020500575014",7,29.32711300882,8.2840405884,NA,NA,8,1.8572172414,16.03399776554,NA
"105","M00020500576011",7,8.627876966262,7.4393721408,NA,NA,7,0.003949016722,15.5001654017029,NA
"106","M00020500576012",6,12.12580849458,8.53470859402,NA,NA,6,NA,15.7468296548469,NA
"107","M00020500576013",6,13.46687913094,8.7222925338,NA,NA,6,3.4917140424,16.2307156302081,NA
"108","M00020500576014",4,5.96446926364,4.5387296954,NA,NA,4,0.8976755696,16.967559460601,NA
"109","M00020500577011",6,15.675566803166,3.1065881108,NA,NA,7,NA,15.8360158297573,NA
"110","M00020500577012",5,12.19063594104,3.0113248548,NA,NA,5,NA,15.7101342709991,NA
"111","M00020500577013",5,16.94758513722,9.472238074,NA,NA,5,0.705193094,16.0247119028466,NA
"112","M00020500577014",8,14.4818164018,6.89799684138,NA,NA,8,0.8976755696,15.8234786440681,NA
"113","M00020501660011",7,8.798039483854,6.142653148,NA,NA,7,NA,17.0344426713552,NA
"114","M00020501660012",8,13.00262098727,6.8445820033,NA,NA,9,2.7634580522,16.6685674245169,NA
"115","M00020501660013",7,8.225839740016,7.31905841934,NA,NA,7,0.253748265976,16.806596099624,NA
"116","M00020501660014",8,4.058942471944,3.22205535852,NA,NA,7,1.01843666152,16.1719418339633,NA
"117","M00020501724011",10,9.02320455069,5.674553867,NA,NA,10,NA,15.8203501484466,NA
"118","M00020501724012",13,22.476515485956,12.0924496006,NA,NA,13,NA,16.1166685961015,NA
"119","M00020501724013",7,13.08200040274,11.4382323172,NA,NA,7,NA,15.9537880775277,NA
"120","M00020501724014",5,3.25554659528,2.94145761082,NA,NA,5,NA,16.273984865343,NA
"121","M00020501725011",6,15.67872964128,4.9374048506,NA,NA,6,NA,15.7664096849989,NA
"122","M00020501725012",9,15.538605055336,7.044621340336,NA,NA,9,1.4558353396,15.5358741892259,NA
"123","M00020501725013",10,19.022358838726,12.31468566382,NA,NA,10,0.740753059,15.598503871548,NA
"124","M00020501725014",7,7.30957260942,5.193127682,NA,NA,7,NA,15.9255573684307,NA
"125","M00020501726011",11,32.074263446646,22.0849923744,NA,NA,12,2.977848982,17.1700526563089,NA
"126","M00020501726012",6,18.10043370986,4.6701793076,NA,NA,6,NA,15.7225107416412,NA
"127","M00020501726013",8,20.8778206733,5.69231899144,NA,NA,8,NA,15.8000065994182,NA
"128","M00020501726014",10,14.011215082858,7.196491525232,NA,NA,11,1.1520241474,15.5356285348133,NA
"129","M00020501727011",3,1.16288608766,0.8225421764,NA,NA,3,0.8225421764,16.4002953695535,NA
"130","M00020501727012",2,1.06815401306,0,NA,NA,3,NA,17.0362999851319,NA
"131","M00020501727013",2,0.28852797094,0.1484402406,NA,NA,2,NA,NA,NA
"132","M00020501727014",2,0.307772353406,0.307772353406,NA,NA,2,NA,NA,NA
"133","M00020502175011",3,8.71463431394,8.0626256176,NA,NA,4,1.1250294236,17.2935,NA
"134","M00020502175012",10,8.403410344876,6.650907445026,NA,NA,10,NA,16.72676860666,NA
"135","M00020502175013",6,17.389197606706,3.84441535302,NA,NA,6,2.2500588472,16.4871117426034,NA
"136","M00020502175014",8,16.393440403074,5.8758906094,NA,NA,8,0.705193094,16.7234811461323,NA
"137","M00020502239011",11,17.484076050156,15.802940708,NA,NA,11,NA,16.0616475805764,NA
"138","M00020502239012",10,16.612100110378,15.62960547,NA,NA,10,4.1950060816,16.2146423049326,NA
"139","M00020502239013",12,45.510192816812,27.93019329937,NA,NA,12,16.50679854,16.189563095175,NA
"140","M00020502239014",11,57.60170306929,54.8042861478,NA,NA,12,42.5289245484,16.5107490384738,NA
"141","M00020502329011",9,25.428902681092,17.4962980306,NA,NA,11,5.478341484,16.464629612689,NA
"142","M00020502329012",10,26.832360576034,14.9775000454,NA,NA,10,6.096543895644,15.9068972404967,NA
"143","M00020502329013",9,5.533403154848,1.23501684482,NA,NA,9,0.15335466796,15.5423900298375,NA
"144","M00020502329014",6,27.95062906532,26.674269461,NA,NA,6,5.277402622,15.7274776004017,NA
"145","M00020502363011",14,38.37168590214,30.8760763782,NA,NA,15,4.1950060816,15.7806742229389,NA
"146","M00020502363012",10,21.30424905133,13.373923563866,NA,NA,10,2.739170742,16.050278405865,NA
"147","M00020502363013",12,20.026773596318,18.75741366622,NA,NA,13,7.744251638,16.7411547265798,NA
"148","M00020502363014",7,28.499922907012,28.248215282,NA,NA,7,14.0183312526,16.8402527682844,NA
"149","M00020502501011",11,14.897576206396,14.5390412204,NA,NA,10,1.8500385244,16.3223328108551,NA
"150","M00020502501012",9,7.908814754968,4.379718888,NA,NA,9,0.005481043644,16.0672898541848,NA
"151","M00020502501013",6,6.889396136674,2.9330678152,NA,NA,6,NA,15.7994629909462,NA
"152","M00020502501014",10,16.386654224136,8.1036772614,NA,NA,10,5.280142366,15.9731416358738,NA
"153","M00020502594011",11,5.47004259832,1.94201254851,NA,NA,11,NA,16.2238451286429,NA
"154","M00020502594012",8,6.576345385148,3.1808850354,NA,NA,8,1.1760455888,16.1960616895934,NA
"155","M00020502594013",8,126.667734080072,116.4298311588,NA,NA,8,13.2487896552,15.4075099098907,NA
"156","M00020502594014",11,59.08968642516,54.0216486438,NA,NA,11,7.5362266026,15.5711389937927,NA
"157","M00020502624011",7,19.558729016862,19.1725053078,NA,NA,7,NA,15.8123784606692,NA
"158","M00020502624012",13,34.374130608184,25.0130539124,NA,NA,13,0.2467141972,15.6735318632947,NA
"159","M00020502624013",7,120.725373343462,104.3059278484,NA,NA,7,NA,15.5507606372915,NA
"160","M00020502624014",9,20.581756946934,5.3365077382,NA,NA,9,1.381867754444,15.6795721779562,NA
"161","M00020502709011",9,24.455615433644,12.3313201854,NA,NA,9,NA,15.844934167264,NA
"162","M00020502709012",11,8.78609805785,5.8403307524,NA,NA,11,1.897413906,15.6501180294744,NA
"163","M00020502709013",7,51.89442877158,33.0577774974,NA,NA,8,4.9045234776,16.4505111126477,NA
"164","M00020502709014",8,391.53688079758,347.2821500508,NA,NA,9,5.9696640668,16.663061467656,NA
"165","M00020502803011",11,1.968395407276,0.1484402406,NA,NA,11,NA,16.6795096198886,NA
"166","M00020502803012",12,4.123448225676,0,NA,NA,13,0.000627832066,16.5890178088389,NA
"167","M00020502803013",6,39.53656472132,28.445886901,NA,NA,6,4.1159486784,15.8226654478617,NA
"168","M00020502803014",6,36.3232765088,29.867636426,NA,NA,6,5.478341484,16.2039047428721,NA
"169","M00020502908011",13,42.517473655976,29.6088739396,NA,NA,14,7.945198256,16.6036698454978,NA
"170","M00020502908012",10,92.33509650664,38.9128551782,NA,NA,10,4.76232743608,16.5414872895646,NA
"171","M00020502908013",11,131.300155962468,46.8058138052,NA,NA,12,9.237993267,16.640316233515,NA
"172","M00020502908014",13,158.308138086722,44.1510459436,NA,NA,13,10.254297928,16.6898709848168,NA
"173","M00030500284011",7,3.117035160558,2.2677924386,NA,NA,8,0.17037842568,17.2935,NA
"174","M00030500284012",7,2.778588226628,2.5969547908,NA,NA,7,NA,NA,NA
"175","M00030500284013",5,6.41096579576,2.4001471168,NA,NA,5,0.3407568514,16.8423429613794,NA
"176","M00030500284014",8,9.125545755142,7.23122447122,NA,NA,8,NA,16.5755681434025,NA
"177","M00030500285011",5,15.1643051054,14.2361222544,NA,NA,5,NA,16.7994382686064,NA
"178","M00030500285012",4,5.4436854452,5.4436854452,NA,NA,4,1.251635575,NA,NA
"179","M00030500285013",3,3.8565640246,3.8565640246,NA,NA,3,NA,15.872,NA
"180","M00030500285014",1,2.6421422088,2.6421422088,NA,NA,1,NA,15.872,NA
"181","M00030500286011",7,13.52899111756,11.31936171522,NA,NA,7,NA,17.1551461308483,NA
"182","M00030500286012",7,10.546804639662,10.01951853766,NA,NA,7,NA,17.2058166196343,NA
"183","M00030500286013",2,1.4494811001,1.0822320334,NA,NA,2,NA,17.2935,NA
"184","M00030500286014",4,2.898218044692,1.9821108882,NA,NA,4,NA,15.8024899337241,NA
"185","M00030500287011",6,7.72382753816,7.5434296352,NA,NA,6,NA,17.31175,NA
"186","M00030500287012",4,3.7496771064,2.5198552314,NA,NA,5,NA,16.8205,NA
"187","M00030500287013",4,17.32880082128,14.6339464172,NA,NA,5,NA,17.0091933232762,NA
"188","M00030500287014",4,10.64124380452,8.827401438,NA,NA,4,0.779638616,16.5733086780721,NA
"189","M00030500288011",5,2.043102676,1.09187017466,NA,NA,5,NA,17.2935,NA
"190","M00030500288012",6,3.619059083872,3.222058833,NA,NA,6,NA,16.593,NA
"191","M00030500288013",7,4.41131360312,3.30940218486,NA,NA,8,0.8010903964,17.2935,NA
"192","M00030500288014",2,1.95100960772,1.2222442192,NA,NA,2,NA,17.2975,NA
"193","M00030500578011",4,2.548545660344,2.1399704918,NA,NA,4,0.3407568514,15.16225,NA
"194","M00030500578012",10,8.451710537998,7.43917740128,NA,NA,10,NA,16.493795,NA
"195","M00030500578013",7,4.126000099586,4.11426436566,NA,NA,7,NA,14.9875,NA
"196","M00030500578014",9,22.24685744072,21.7739568732,NA,NA,9,2.99911095228,16.8945927765006,NA
"197","M00030500579011",2,4.48392313876,4.4381661802,NA,NA,2,NA,17.2935,NA
"198","M00030500579012",5,6.83431365808,6.7861335536,NA,NA,5,NA,16.1081666666667,NA
"199","M00030500579013",5,5.23683262356,5.1299881578,NA,NA,5,0.740753059,NA,NA
"200","M00030500579014",5,2.74882093754,2.5187889356,NA,NA,6,0.740753059,NA,NA
"201","M00030500580011",4,11.687942964,7.35800470262,NA,NA,4,NA,17.2935,NA
"202","M00030500580012",13,17.87470401536,13.10415611642,NA,NA,13,0.740753059,16.8167902089173,NA
"203","M00030500580013",8,34.6697055633,32.7885586628,NA,NA,8,4.6716111316,16.7849412668065,NA
"204","M00030500580014",11,75.746590761202,75.01085117786,NA,NA,11,2.66254851114,18.4051343355055,NA
"205","M00030500581011",4,5.00094712842,4.5931753636,NA,NA,4,0.740753059,16.9464459059927,NA
"206","M00030500581012",8,4.522188018038,3.7002110332,NA,NA,8,0.740753059,16.5791605501223,NA
"207","M00030500581013",8,6.4708747296,5.796144707,NA,NA,8,0.389819308,16.0744532458159,NA
"208","M00030500581014",5,10.582477985,6.957839149,NA,NA,5,1.445946153,17.6837306501832,NA
"209","M00030501477011",7,9.786228111638,8.8246763124,NA,NA,7,NA,16.7650425059795,NA
"210","M00030501477012",6,7.420968749978,7.0800479528,NA,NA,6,0.1008347338,15.868875,NA
"211","M00030501477013",4,3.15057409482,2.9508191404,NA,NA,4,NA,15.8685132131794,NA
"212","M00030501477014",3,3.24989719674,3.1133000838,NA,NA,4,NA,NA,NA
"213","M00041000289011",6,10.4424438081,9.9518594332,NA,NA,6,NA,15.867,NA
"214","M00041000289012",7,24.2089108404,22.11647069764,NA,NA,7,0.63384741004,16.238530857831,NA
"215","M00041000289013",11,13.143883113828,10.78531541066,NA,NA,11,1.5554127794,16.2064087772896,NA
"216","M00041000289014",12,29.203099202956,26.26212507432,NA,NA,12,0.4346925304,16.1260361269221,NA
"217","M00041000290011",5,10.5643329188,10.5643329188,NA,NA,5,0.5786736794,15.872,NA
"218","M00041000290012",4,7.2041784086,6.9295160788,NA,NA,4,NA,17.2935,NA
"219","M00041000290013",4,5.17703256323,4.1266085928,NA,NA,5,NA,15.6051963864267,NA
"220","M00041000290014",4,2.943828639584,2.2231321494,NA,NA,4,NA,16.0914532296322,NA
"221","M00041001478011",8,9.24959436434,7.82476669802,NA,NA,8,1.4558353396,17.8275334954774,NA
"222","M00041001478012",7,3.089756282198,1.78581229234,NA,NA,7,0.21734626512,19.272,NA
"223","M00041001478013",7,17.7480273826,5.5094997762,NA,NA,7,2.33819568952,17.2277598826117,NA
"224","M00041001478014",7,5.55658744452,1.5052295992,NA,NA,7,1.6361647006,16.7833594828325,NA
"225","M00050500291011",11,16.122758517432,14.40580860722,NA,NA,10,2.977848982,17.1488760287001,NA
"226","M00050500291012",7,15.982665850306,14.34283014682,NA,NA,7,0.705193094,17.0237926675679,NA
"227","M00050500291013",5,16.71316411154,15.7119780892,NA,NA,5,0.56019773368,16.3527325139699,NA
"228","M00050500291014",7,13.082885352202,12.5902994948,NA,NA,7,4.8139151528,16.7889342936997,NA
"229","M00050500292011",6,12.96964378645,12.4303311038,NA,NA,6,NA,16.5794997886917,NA
"230","M00050500292012",7,7.56321347902,6.8081800196,NA,NA,7,NA,16.9243003043901,NA
"231","M00050500292013",8,12.07726398546,11.126110629,NA,NA,8,1.4831699698,16.7295249016866,NA
"232","M00050500292014",5,2.98766286424,2.8526256,NA,NA,5,NA,NA,NA
"233","M00050500293011",6,9.82795418968,9.3354516862,NA,NA,5,3.3683617978,16.579625,NA
"234","M00050500293012",5,9.04573960238,8.7994883506,NA,NA,5,2.768236338,15.872,NA
"235","M00050500293013",4,6.85358442988,6.6567711066,NA,NA,4,NA,16.2685173972431,NA
"236","M00050500293014",4,45.84760836712,45.8265502764,NA,NA,4,NA,15.872,NA
"237","M00050500294011",3,5.86532092878,5.6936012738,NA,NA,3,NA,16.1793089474076,NA
"238","M00050500294012",4,12.25415960698,10.7727300812,NA,NA,4,NA,16.5041264827186,NA
"239","M00050500294013",2,5.7335631294,5.7335631294,NA,NA,2,NA,16.3458333333333,NA
"240","M00050500294014",2,2.4283980926,2.4283980926,NA,NA,2,NA,15.872,NA
"241","M00050500295011",7,11.80380154416,11.5113952584,NA,NA,7,NA,17.2930420871783,NA
"242","M00050500295012",6,28.34984186482,28.20201686482,NA,NA,6,2.863694226,16.6880879964392,NA
"243","M00050500295013",4,4.73231747584,3.9554282054,NA,NA,4,NA,16.8156263836174,NA
"244","M00050500295014",7,5.38317715506,5.216206911,NA,NA,7,1.653900047,16.1675887432983,NA
"245","M00050500582011",3,8.86608112064,8.7748438564,NA,NA,3,0.740753059,15.872,NA
"246","M00050500582012",3,13.739255741484,13.5862232004,NA,NA,3,NA,15.869883827405,NA
"247","M00050500582013",3,3.01071797737,2.8278740092,NA,NA,3,NA,16.00506,NA
"248","M00050500582014",4,4.805831724226,4.6480081092,NA,NA,4,NA,15.872,NA
"249","M00050500583011",8,12.556398873666,12.0479610074,NA,NA,8,0.8976755696,15.405517286647,NA
"250","M00050500583012",4,7.28204346652,7.2609853758,NA,NA,4,NA,15.872,NA
"251","M00050500583013",7,9.20102648094,8.8823347604,NA,NA,7,0.8976755696,16.12025,NA
"252","M00050500583014",8,20.47192241454,20.39447979542,NA,NA,8,6.0497529986,15.7609475891071,NA
"253","M00050500584011",5,11.18650905022,11.0593287226,NA,NA,5,1.1164641824,15.8662574505386,NA
"254","M00050500584012",4,1.00069440942,0.72787748962,NA,NA,4,NA,NA,NA
"255","M00050500584013",6,2.278550975444,2.1755712916,NA,NA,6,NA,15.872,NA
"256","M00050500584014",4,7.8480360114,7.8480360114,NA,NA,4,1.251635575,15.872,NA
"257","M00050500585011",2,5.8088330906,5.8088330906,NA,NA,2,NA,15.872,NA
"258","M00050500585012",3,2.31995526308,2.2612909018,NA,NA,3,NA,NA,NA
"259","M00050500585013",1,0.3504,0.3504,NA,NA,1,NA,NA,NA
"260","M00050500585014",3,1.14458413958,1.0226970708,NA,NA,3,0.4112710884,14.9875,NA
"261","M00050500586011",3,6.059502159,6.059502159,NA,NA,4,0.705193094,15.872,NA
"262","M00050500586012",4,2.450037624226,2.4400390092,NA,NA,4,0.705193094,NA,NA
"263","M00050500586013",2,1.941467896468,1.913851307,NA,NA,2,NA,NA,NA
"264","M00050500586014",8,7.150173624332,6.9795629112,NA,NA,8,3.0752503504,14.9875,NA
"265","M00050500587011",5,11.3962387732,11.3451848374,NA,NA,5,0.740753059,16.2936695271972,NA
"266","M00050500587012",2,3.672686304166,3.1683101606,NA,NA,2,NA,17.2935,NA
"267","M00050500587013",5,7.190653782584,6.9725163706,NA,NA,5,0.8976755696,17.0475699421586,NA
"268","M00050500587014",2,2.117699129328,1.6778509702,NA,NA,3,NA,17.2935,NA
"269","M00050500588011",6,3.547314533712,3.5124265888,NA,NA,6,0.705193094,NA,NA
"270","M00050500588012",6,12.3151748631,12.1539671868,NA,NA,7,NA,16.1538,NA
"271","M00050500588013",4,4.24340476086,4.1752469052,NA,NA,4,NA,17.2935,NA
"272","M00050500588014",5,7.6808065455,7.5830711208,NA,NA,5,3.9847772682,15.340125,NA
"273","M00050500589011",5,7.09869977498,7.00929150782,NA,NA,5,NA,17.0004156418581,NA
"274","M00050500589012",6,2.48713653147,2.2929475446,NA,NA,6,NA,18.1388333333333,NA
"275","M00050500589013",6,6.108604548886,5.92494641882,NA,NA,6,1.4815061182,15.6768667236139,NA
"276","M00050500589014",8,43.40204696268,43.2968063224,NA,NA,8,15.4004375686,16.0403858656292,NA
"277","M00050500590011",5,2.444678774028,2.30892447,NA,NA,5,NA,15.872,NA
"278","M00050500590012",6,8.314707866518,8.0331237598,NA,NA,6,1.4815061182,16.2291,NA
"279","M00050500590013",4,5.65178248,5.65178248,NA,NA,4,0.740753059,16.3416666666667,NA
"280","M00050500590014",4,9.69052881114,9.5989747012,NA,NA,4,1.992388634,16.4776428571429,NA
"281","M00050500591011",7,10.58089091821,10.30576043602,NA,NA,7,2.3766649986,16.0707383249458,NA
"282","M00050500591012",4,6.099804942434,5.1046401944,NA,NA,4,0.740753059,17.1254627057605,NA
"283","M00050500591013",7,18.3571013333,15.20301393762,NA,NA,7,4.144726033,17.1315560986456,NA
"284","M00050500591014",6,28.415245239368,25.4324241256,NA,NA,6,3.534531427,16.8060425684616,NA
"285","M00050500592011",4,3.39397354302,3.0267799354,NA,NA,4,NA,16.8655858611637,NA
